Num,Desc,GramsPerServ,GramDesc,CalsPerServ,ProtPerServ,FiberPerServ,SugarPerServ,SodiumPerServ,SatFatPerServ,PricePerServ,FoodType,Grains,Bev,Fruits,Vegs,MeatFish,Dairy,FatsOils,MealsSoups,LegumesNuts
43276,"Cheese spread, cream cheese base",240,1 cup,708,17.04,0,8.4,1046.4,43.248,1.86,Dairy,0,0,0,0,0,1,0,0,0
43274,"Cheese, cream, low fat",240,1 cup,482.4,18.84,0,13.968,861.6,21.8352,1.9,Dairy,0,0,0,0,0,1,0,0,0
1009,"Cheese, cheddar",244,"1 cup, melted",990.64,58.6576,0,0.6832,1571.36,47.25792,1.94,Dairy,0,0,0,0,0,1,0,0,0
1020,"Cheese, fontina",108,"1 cup, shredded",420.12,27.648,0,1.674,864,20.73168,1.98,Dairy,0,0,0,0,0,1,0,0,0
1125,"Egg, yolk, raw, fresh",243,1 cup,782.46,38.5398,0,1.3608,116.64,23.20893,2.05,Dairy,0,0,0,0,0,1,0,0,0
1034,"Cheese, port de salut",113,"1 cup, shredded",397.76,26.8714,0,0.6441,603.42,18.86083,2.07,Dairy,0,0,0,0,0,1,0,0,0
1006,"Cheese, brie",144,"1 cup, sliced",480.96,29.88,0,0.648,905.76,25.0704,2.64,Dairy,0,0,0,0,0,1,0,0,0
1053,"Cream, fluid, heavy whipping",238,"1 cup, fluid (yields 2 cups whipped)",821.1,4.879,0,6.6402,90.44,54.81616,2.96,Dairy,0,0,0,0,0,1,0,0,0
1022,"Cheese, gouda",198,1 package (7 oz),704.88,49.3812,0,4.3956,1621.62,34.87572,3.16,Dairy,0,0,0,0,0,1,0,0,0
1040,"Cheese, swiss",244,"1 cup, melted",927.2,65.7092,0,3.2208,170.8,43.38076,3.32,Dairy,0,0,0,0,0,1,0,0,0
1007,"Cheese, camembert",246,1 cup,738,48.708,0,1.1316,2071.32,37.53714,4.51,Dairy,0,0,0,0,0,1,0,0,0
1259,"Cheese spread, american or cheddar cheese base, reduced fat",566,1 package,996.16,75.9006,0,39.9596,6237.32,31.96202,6.12,Dairy,0,0,0,0,0,1,0,0,0
1115,"Whey, sweet, dried",7.5,1 tbsp,26.475,0.96975,0,5.5845,80.925,0.0513,930.07,Dairy,0,0,0,0,0,1,0,0,0
4609,"Animal fat, bacon grease",4,1 tsp,35.88,0,0,0,6,1.56016,0.01,Fats and Oils,0,0,0,0,0,0,1,0,0
4044,Soybean oil,27.25,2 tbsp,240.89,0,0,0,0,4.264625,0.05,Fats and Oils,0,0,0,0,0,0,1,0,0
42193,"Salad dressing, mayonnaise-like, fat-free",32,2 tbsp,26.88,0.064,0.608,3.296,252.16,0.192,0.06,Fats and Oils,0,0,0,0,0,0,1,0,0
43355,"Mayonnaise, low sodium, low cal, or diet",28,2 tbsp,64.68,0.084,0,1.176,30.8,0.924,0.06,Fats and Oils,0,0,0,0,0,0,1,0,0
4692,"Margarine, 80% fat, tub, w/ salt",28,2 tbsp,199.64,0.0616,0,0,183.96,3.98272,0.06,Fats and Oils,0,0,0,0,0,0,1,0,0
4618,"Margarine, 80% fat, tub",28.375,2 tbsp,202.31375,0.062425,0,0,7.945,4.03606,0.06,Fats and Oils,0,0,0,0,0,0,1,0,0
43598,"Mayonnaise dressing, no chol",29.875,2 tbsp,205.54,0,0,0.089625,145.1925,3.22172,0.06,Fats and Oils,0,0,0,0,0,0,1,0,0
4027,"Salad dressing, mayo, imitation",30,2 tbsp,69.6,0.09,0,1.8,149.1,0.99,0.07,Fats and Oils,0,0,0,0,0,0,1,0,0
21129,Hush puppies,22,1 piece,65.12,1.3552,0.638,0.836,178.86,0.57662,0.07,Fats and Oils,0,0,0,0,0,0,1,0,0
4634,"Margarine-like, veg oil spread, 20% fat",25.625,2 tbsp,44.84375,0,0,0,0,0.7354375,0.07,Fats and Oils,0,0,0,0,0,0,1,0,0
4627,"Margarine-like spread, approx 40% fat, tub, w/ salt",28,2 tbsp,92.4,0.56,0,0,176.4,1.96,0.08,Fats and Oils,0,0,0,0,0,0,1,0,0
4683,"Margarine, margarine-like veg oil spread, 67-70% fat, tub",28,2 tbsp,169.68,0.0196,0,0,150.08,4.67264,0.08,Fats and Oils,0,0,0,0,0,0,1,0,0
42171,"Salad dressing, french dressing, reduced calorie",32.5,2 tbsp,65,0.13,0,8.424,272.35,0.6084,0.08,Fats and Oils,0,0,0,0,0,0,1,0,0
42138,"Mayonnaise, reduced calorie or diet, cholesterol-free",28.875,2 tbsp,96.15375,0.259875,0,1.21275,211.65375,1.3334475,0.08,Fats and Oils,0,0,0,0,0,0,1,0,0
4025,"Salad dressing, mayo, reg",27.6,2 tbsp,187.68,0.26496,0,0.15732,175.26,3.230028,0.09,Fats and Oils,0,0,0,0,0,0,1,0,0
4678,Vegetable oil,28,2 tbsp,247.52,0,0,0,0,1.82308,0.1,Fats and Oils,0,0,0,0,0,0,1,0,0
42178,"Mayonnaise, made with tofu",30,2 tbsp,96.6,1.785,0.33,0.255,231.9,0.8763,0.1,Fats and Oils,0,0,0,0,0,0,1,0,0
4120,"Salad dressing, french dressing",31.25,2 tbsp,142.8125,0.240625,0,4.984375,261.25,1.765,0.12,Fats and Oils,0,0,0,0,0,0,1,0,0
43019,"Salad dressing, sweet & sour",31.25,2 tbsp,4.6875,0.03125,0,1.15625,65,0,0.14,Fats and Oils,0,0,0,0,0,0,1,0,0
42137,"Salad dressing, peppercorn dressing",26,1 fl oz,146.64,0.312,0,0.637,286.78,2.73702,0.14,Fats and Oils,0,0,0,0,0,0,1,0,0
42140,"Salad dressing, italian dressing, reduced calorie",27,2 tbsp,54,0.081,0.054,0.5238,289.98,0.7776,0.14,Fats and Oils,0,0,0,0,0,0,1,0,0
43021,"Salad dressing, caesar, low cal",30,2 tbsp,33,0.09,0.03,4.896,344.4,0.2109,0.15,Fats and Oils,0,0,0,0,0,0,1,0,0
4636,"Salad dressing, italian dressing, fat-free",28.875,2 tbsp,13.57125,0.2800875,0.17325,2.5554375,325.99875,0.08518125,0.15,Fats and Oils,0,0,0,0,0,0,1,0,0
42116,"Creamy dressing, made w/ sour cream and/or buttermilk & oil, reduced calorie",30.625,2 tbsp,49,0.459375,0,1.7303125,255.10625,0.64771875,0.16,Fats and Oils,0,0,0,0,0,0,1,0,0
43020,"Salad dressing, blue or roquefort cheese, low cal",30.625,2 tbsp,30.31875,1.561875,0,0.863625,287.56875,0.78859375,0.16,Fats and Oils,0,0,0,0,0,0,1,0,0
4017,"Salad dressing, 1000 island",31.25,2 tbsp,118.4375,0.340625,0.25,4.74375,300.625,1.59125,0.17,Fats and Oils,0,0,0,0,0,0,1,0,0
4635,"Salad dressing, 1000 island dressing, fat-free",32,2 tbsp,42.24,0.176,1.056,5.3856,252.16,0.06336,0.17,Fats and Oils,0,0,0,0,0,0,1,0,0
4022,"Salad dressing, russian dressing, low cal",32.5,2 tbsp,45.825,0.1625,0.0975,7.10775,282.1,0.195,0.17,Fats and Oils,0,0,0,0,0,0,1,0,0
4539,"Salad dressing, blue or roquefort cheese dressing",30.625,2 tbsp,148.225,0.4195625,0.1225,1.06575,196.6125,2.53421875,0.17,Fats and Oils,0,0,0,0,0,0,1,0,0
42157,"Creamy dressing, mde w/ sour cream and/or buttermilk & oil, reduced calorie, fat free",33,2 tbsp,35.31,0.462,0,1.7655,296.01,0.16302,0.18,Fats and Oils,0,0,0,0,0,0,1,0,0
4703,"Salad dressing, honey mustard",30,2 tbsp,139.2,0.261,0.12,4.752,153.6,1.5,0.18,Fats and Oils,0,0,0,0,0,0,1,0,0
43015,"Salad dressing, caesar dressing, reg",29.375,2 tbsp,159.2125,0.6374375,0.146875,0.8254375,355.14375,2.58176875,0.2,Fats and Oils,0,0,0,0,0,0,1,0,0
4015,"Salad dressing, russian dressing",30.625,2 tbsp,108.71875,0.2113125,0.214375,5.4145,346.98125,0.7319375,0.2,Fats and Oils,0,0,0,0,0,0,1,0,0
4633,"Margarine-like, veg oil spread, 20% fat, w/ salt",30,2 tbsp,52.5,0,0,0,219.9,0.861,0.36,Fats and Oils,0,0,0,0,0,0,1,0,0
4058,"Oil, sesame, salad or cooking",27.25,2 tbsp,240.89,0,0,0,0,3.8695,0.62,Fats and Oils,0,0,0,0,0,0,1,0,0
21130,"Onion rings, breaded & fried",117,1 package  (18 onion rings),480.87,4.5162,3.159,6.3531,907.92,4.90698,0.93,Fats and Oils,0,0,0,0,0,0,1,0,0
6615,Vegetable broth,235,1 serving,11.75,0,0,1.9975,940,0,0.07,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
22974,"Chicken, nuggets, dk & white meat, precooked, frozen",18,1 piece,46.8,2.2374,0.234,0.1422,100.8,0.57654,0.09,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6430,"Soup, New England clam chowder, canned, prepared w/ water",31,1 fl oz,10.85,0.4805,0.093,0.0589,78.74,0.14508,0.09,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
22917,"Burrito, beef & bean, frozen",28.35,1 oz,67.7565,2.05821,1.1907,0.19845,166.4145,0.8360415,0.13,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6988,"Cream of mushroom soup, condensed",124,".5 cup, condensed",68.2,1.5996,1.24,2.2196,405.48,0.4092,0.14,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
32006,"Taquitos, frozen, chicken & cheese",42,1 piece,119.28,3.8682,1.218,0.546,190.26,0.9702,0.19,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
32007,"Taquitos, frozen, beef & cheese",42,1 piece,120.54,3.948,1.176,0.6972,191.52,1.10082,0.19,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6256,"Soup, cream of shrimp, canned, prepared w/ milk",31.6,1 fl oz,19.276,0.87848,0.0316,0.82792,111.864,0.60988,0.22,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6487,"Cream of mushroom soup, low sodium",298,"1 serving, 1 container",160.92,3.0098,0,5.9898,59.6,2.50022,0.24,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6015,"Soup, chicken, canned, chunky, ready-to-serve",245,1 cup,173.95,12.397,1.47,2.1315,867.3,1.9355,0.28,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
22955,"Egg rolls, veg, frozen, prepared",28.35,1 oz,60.669,1.686825,0.6804,1.68966,138.915,0.322623,0.32,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6025,"Soup, chicken & vegetables, canned, condensed",303,1 can (10.7 oz),184.83,8.9082,2.121,3.8178,2139.18,2.0907,0.34,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
22918,"Burrito, bean and cheese, frozen",129,1 burrito,285.09,9.1203,4.386,4.1409,452.79,1.73247,0.36,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6019,"Soup, chicken noodle, canned, condensed",124,.5 cup,59.52,2.9388,1.116,0,844.44,0.48236,0.37,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6159,"Soup, tomato, canned, condensed",294,1 can,194.04,4.2924,3.234,24.1962,1108.38,0.3381,0.4,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
6002,"Soup, black bean, canned, condensed",312,"1 can (11 oz), undiluted",283.92,15.0696,21.216,7.7688,3026.4,1.0608,0.45,Frozen Meals and Soups,0,0,0,0,0,0,0,1,0
